Rank,Player,Position,School,Class,Photo_Url,Pick,Slot Value,Player Cost,Player Cost Note,
72,Dominic Santarelli,1B/OF,St. Joseph,H,https://pbs.twimg.com/media/Gj28QcqXMAAvtQ9?format=jpg&name=4096x4096,72,"$1,174,300","$1,800,000",,"$2,200,000"
73,Savion Sims,RHP,Prestonwood Christian,H,https://i1.sndcdn.com/artworks-3HUqGIYCQU9ie10Z-TKyeRg-t500x500.jpg,73,"$1,156,400","$1,800,000",,
74,Noah Wilson,OF,Mccallie,H,"https://image.maxpreps.io/rosters/76954902-6d31-4d59-b6f4-dbdf36f35ff5/4/5/1/451b41d1-d15a-4072-94d9-3a00b9f28a31/original.jpg?version=638457731780779024&width=1024&crop=1:1,smart",74,"$1,138,600","$1,800,000",,
75,Carson Wiggins,RHP,Arkansas,C,https://arkansasrazorbacks.com/wp-content/uploads/2025/01/44-Carson-Wiggins-BSB-2025-121464-1x1-1.jpg,75,"$1,120,900","$1,120,900",,
76,Sherman Johnson,3B/OF,NC State,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Fgopack.com%2Fimages%2F2025%2F8%2F21%2FSherman_johnson.png&width=180&height=270&type=webp,76,"$1,103,500","$1,103,500",,
77,Carson Kerce,2B/SS,Georgia Tech,C,https://ramblinwreck.com/imgproxy/9kFayP3J_djRaYSgMIP2cQjIbhybmBJsCWhGWLujoXQ/fit/2500/2500/ce/0/aHR0cHM6Ly9yYW1ibGlud3JlY2suY29tL3dwLWNvbnRlbnQvdXBsb2Fkcy8yMDI0LzExL0NhcnNvbi1LZXJjZS1IUy5qcGc.jpg,77,"$1,086,600","$1,086,600",,
78,Jack Natili,C,Cincinnati,C,https://gobearcats.com/imgproxy/oiRi05NWrTVD5-KCDsYcBqV01EJuMcExLQIR2kuhAvI/rs:fit:1980:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL2dvYmVhcmNhdHMtY29tLXByb2QvMjAyNS8wNi8xOC85ZW9mRmx0ZkVOaEFWcE0zd1h3VXEzb2YxN29tbFJYUTNUVmlNWERMLndlYnA.webp,78,"$1,069,600","$1,069,600",,"$2,000,000"
79,Henry Ford,1B/OF,Tennessee,C,"https://img.mlbstatic.com/opprops-images/image/upload/ar_1:1,g_auto,c_fill,w_1024/opprops/yw4ha1ycytnrqtvyakgm.jpg",79,"$1,052,700","$1,052,700",,
80,LJ Mercurius,RHP,Oklahoma,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Fsoonersports.com%2Fimages%2F2025%2F9%2F9%2FLJ_Mercurius_Headshot.jpg&width=180&height=270&type=webp,80,"$1,035,700","$1,035,700",,
81,Ethan Kleinschmit,LHP,Oregon State,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Foregonstate.sidearmsports.com%2Fimages%2F2024%2F10%2F28%2F25BB_Headshot_KleinschmditEthan_00366.jpg&width=180&height=270&type=webp,81,"$1,018,500","$1,018,500",,
